epoch,train_loss,val_loss,train_acc,val_acc
1,0.20598627926430976,0.36297938438643396,0.8547875713379836,0.8672566371681416
2,0.11659840206434323,0.31569733934416533,0.9359543436905516,0.911504424778761
3,0.05241584096436986,0.3359286157430801,0.9689283449587826,0.887905604719764
4,0.04120299672694923,0.45572164470115595,0.9790741915028536,0.9085545722713865
5,0.01614078651604608,0.3097556488352188,0.9936588459099556,0.9085545722713865
6,0.011003595727838968,0.3843600925794393,0.9949270767279645,0.9085545722713865
7,0.009388437025430898,0.30852226794293497,0.9949270767279645,0.9410029498525073
8,0.014711284187026488,0.5750119418872844,0.9911223842739378,0.887905604719764
9,0.017212435336205954,0.49547359936356894,0.9923906150919467,0.9262536873156342
10,0.040272447405785755,0.4123812897191287,0.9759036144578314,0.8849557522123894
