epoch,train_loss,val_loss,train_acc,val_acc
1,0.33180246211130104,0.2964084110604627,0.8712745719720989,0.8702064896755162
2,0.19161033355403567,0.2917456633925086,0.9353202282815473,0.8731563421828908
3,0.1426515936374324,0.3709526686190152,0.953709575142676,0.9262536873156342
4,0.06945058883190836,0.29746459995926655,0.9809765377298668,0.911504424778761
5,0.0535438461613073,0.27961056020143815,0.9828788839568802,0.9351032448377581
6,0.08647529984019418,0.2763325702124289,0.9733671528218135,0.9085545722713865
7,0.08520228016623116,0.33607546681851413,0.9727330374128091,0.887905604719764
8,0.025543222445096957,0.2845478670940814,0.9917564996829423,0.9410029498525073
9,0.020260281800590668,0.27076750382737075,0.9949270767279645,0.943952802359882
10,0.020032174686842805,0.4026110018864494,0.9955611921369689,0.8495575221238938
