epoch,train_loss,val_loss,train_acc,val_acc
1,0.17222989159686397,0.313947141610064,0.9239061509194674,0.887905604719764
2,0.06772409614999989,0.5529472143952474,0.9765377298668357,0.8790560471976401
3,0.03516838054681172,0.3230331860988189,0.989854153455929,0.911504424778761
4,0.02019394812461747,0.48100702161282566,0.9955611921369689,0.8938053097345132
5,0.03991667962690358,0.22556846173463668,0.9873176918199112,0.911504424778761
6,0.05354124194243775,0.40132362925197523,0.9822447685478757,0.8525073746312685
7,0.044303380763164105,0.3702717073107891,0.9860494610019024,0.887905604719764
8,0.029593088602105046,0.3761312989710355,0.9917564996829423,0.8820058997050148
9,0.02934208249238591,0.3104888351529749,0.9911223842739378,0.9026548672566371
10,0.019353372382665067,0.40839130222621567,0.9936588459099556,0.8938053097345132
